TAI-UT1: IERS A/B via Astropy including forecast for about a year
(A3,2X,I5,6(I7,1X),1X,I2)        2                  6  5           1.E-4
     41684 111921  112067  112248  112405  112567  112725 
     41714 112859  113028  113208  113372  113562  113716 
     41744 113863  114043  114203  114391  114584  114747 
     41774 114935  115124  115291  115476  115630  115782 
     41804 115968  116134  116314  116476  116604  116756 
     41834 116911  117059  117220  117344  117467  117604 
     41864 117714  117845  117959  118058  118193  118329 
     41894 118459  118596  118694  118809  118952  119079 
     41924 119237  119376  119494  119642  119782  119929 
     41954 120098  120236  120387  120554  120699  120872 
     41984 121028  121174  121353  121528  121707  121883 
     42014 122019  122165  122325  122471  122642  122778 
     42044 122896  123035  123164  123303  123435  123532 
     42074 123654  123795  123930  124094  124224  124348 
     42104 124498  124635  124795  124965  125106  125264 
     42134 125421  125561  125725  125863  126012  126195 
     42164 126365  126549  126721  126859  127012  127164 
     42194 127307  127465  127583  127693  127812  127914 
     42224 128037  128143  128227  128332  128433  128531 
     42254 128645  128726  128821  128939  129047  129187 
     42284 129308  129407  129525  129638  129763  129920 
     42314 130042  130172  130316  130450  130621  130781 
     42344 130918  131068  131208  131358  131530  131671 
     42374 131822  131979  132121  132284  132424  132549 
     42404 132688  132814  132952  133098  133216  133351 
     42434 133493  133628  133794  133936  134075  134230 
     42464 134370  134520  134675  134796  134936  135085 
     42494 135233  135415  135566  135704  135851  135990 
     42524 136150  136324  136467  136616  136755  136885 
     42554 137040  137170  137292  137418  137528  137657 
     42584 137786  137888  137994  138086  138174  138285 
     42614 138365  138449  138545  138633  138752  138872 
     42644 138972  139087  139193  139301  139443  139556 
     42674 139676  139807  139932  140092  140257  140400 
     42704 140556  140699  140846  141024  141177  141332 
     42734 141485  141625  141786  141941  142075  142215 
     42764 142345  142484  142640  142766  142896  143024 
     42794 143149  143311  143466  143610  143762  143896 
     42824 144041  144202  144333  144476  144623  144768 
     42854 144950  145120  145280  145450  145609  145780 
     42884 145971  146129  146290  146444  146593  146774 
     42914 146945  147102  147254  147383  147519  147666 
     42944 147784  147902  148004  148101  148228  148348 
     42974 148467  148586  148690  148814  148948  149060 
     43004 149177  149279  149383  149525  149656  149796 
     43034 149947  150090  150260  150441  150601  150768 
     43064 150921  151076  151264  151435  151603  151761 
     43094 151899  152051  152214  152363  152517  152656 
     43124 152793  152950  153089  153228  153360  153481 
     43154 153627  153778  153921  154068  154194  154322 
     43184 154470  154599  154738  154873  155000  155154 
     43214 155311  155462  155632  155788  155947  156124 
     43244 156276  156437  156598  156751  156927  157101 
     43274 157259  157412  157541  157670  157816  157944 
     43304 158074  158182  158273  158381  158485  158584 
     43334 158680  158757  158849  158961  159061  159167 
     43364 159251  159330  159438  159550  159675  159813 
     43394 159938  160080  160238  160381  160535  160673 
     43424 160806  160973  161141  161312  161480  161624 
     43454 161779  161950  162109  162271  162411  162544 
     43484 162700  162862  163036  163206  163353  163507 
     43514 163670  163827  163993  164136  164277  164438 
     43544 164599  164779  164961  165131  165315  165497 
     43574 165666  165845  166003  166161  166342  166512 
     43604 166691  166864  167018  167187  167358  167516 
     43634 167679  167823  167968  168134  168290  168447 
     43664 168583  168692  168808  168925  169037  169151 
     43694 169241  169331  169432  169523  169626  169714 
     43724 169792  169895  170009  170132  170266  170375 
     43754 170492  170623  170742  170878  171009  171137 
     43784 171293  171451  171609  171774  171911  172053 
     43814 172209  172358  172523  172676  172819  172981 
     43844 173140  173298  173455  173585  173719  173867 
     43874 174016  174183  174330  174463  174609  174758 
     43904 174921  175083  175213  175348  175489  175628 
     43934 175792  175934  176068  176220  176370  176534 
     43964 176703  176845  176998  177161  177319  177496 
     43994 177646  177783  177932  178075  178225  178369 
     44024 178480  178593  178707  178819  178949  179058 
     44054 179162  179274  179375  179487  179585  179659 
     44084 179744  179838  179943  180072  180173  180269 
     44114 180370  180466  180589  180711  180813  180929 
     44144 181050  181182  181343  181477  181610  181748 
     44174 181872  182014  182151  182266  182393  182516 
     44204 182641  182788  182911  183036  183167  183286 
     44234 183423  183550  183661  183787  183914  184050 
     44264 184194  184305  184413  184522  184627  184774 
     44294 184916  185033  185148  185255  185378  185529 
     44324 185657  185793  185931  186053  186200  186337 
     44354 186462  186596  186713  186837  186979  187094 
     44384 187212  187320  187410  187521  187622  187713 
     44414 187811  187893  187980  188073  188143  188224 
     44444 188305  188383  188483  188557  188628  188715 
     44474 188799  188909  189026  189119  189231  189345 
     44504 189458  189601  189718  189831  189955  190069 
     44534 190207  190359  190481  190609  190723  190833 
     44564 190978  191108  191227  191344  191449  191579 
     44594 191715  191824  191941  192052  192165  192304 
     44624 192422  192541  192652  192740  192857  192988 
     44654 193102  193215  193326  193459  193626  193764 
     44684 193894  194014  194118  194258  194404  194537 
     44714 194682  194810  194939  195091  195208  195329 
     44744 195448  195553  195677  195799  195905  196018 
     44774 196102  196177  196263  196328  196401  196456 
     44804 196494  196569  196649  196728  196815  196882 
     44834 196961  197052  197111  197187  197258  197328 
     44864 197443  197553  197666  197789  197889  198002 
     44894 198139  198250  198373  198484  198583  198718 
     44924 198841  198952  199055  199140  199249  199382 
     44954 199492  199611  199711  199803  199926  200038 
     44984 200149  200253  200330  200426  200538  200637 
     45014 200753  200852  200958  201104  201226  201342 
     45044 201454  201550  201676  201814  201941  202087 
     45074 202203  202316  202464  202598  202738  202862 
     45104 202949  203058  203184  203295  203412  203499 
     45134 203585  203696  203783  203874  203946  203998 
     45164 204079  204163  204232  204308  204355  204412 
     45194 204496  204569  204671  204764  204847  204972 
     45224 205092  205198  205320  205414  205524  205657 
     45254 205764  205888  205993  206087  206214  206332 
     45284 206454  206588  206693  206812  206952  207071 
     45314 207209  207328  207435  207572  207702  207836 
     45344 207970  208080  208220  208386  208537  208710 
     45374 208850  208976  209123  209265  209428  209591 
     45404 209713  209859  210014  210154  210325  210466 
     45434 210598  210749  210883  211026  211163  211265 
     45464 211385  211517  211636  211771  211871  211968 
     45494 212087  212189  212304  212404  212469  212546 
     45524 212621  212680  212765  212823  212884  212971 
     45554 213046  213145  213232  213297  213387  213476 
     45584 213561  213673  213748  213832  213934  214022 
     45614 214151  214263  214350  214459  214563  214682 
     45644 214834  214944  215060  215188  215289  215415 
     45674 215519  215601  215708  215805  215906  216023 
     45704 216078  216165  216266  216340  216442  216511 
     45734 216562  216646  216723  216810  216911  216977 
     45764 217063  217160  217247  217376  217475  217563 
     45794 217668  217748  217852  217977  218059  218159 
     45824 218256  218332  218443  218519  218583  218661 
     45854 218715  218785  218853  218889  218946  218999 
     45884 219033  219087  219101  219127  219170  219195 
     45914 219260  219315  219343  219409  219471  219524 
     45944 219623  219683  219743  219820  219879  219977 
     45974 220074  220146  220240  220320  220396  220519 
     46004 220597  220684  220775  220834  220933  221031 
     46034 221100  221191  221262  221332  221424  221477 
     46064 221554  221642  221710  221814  221893  221952 
     46094 222034  222088  222149  222238  222296  222384 
     46124 222469  222530  222644  222742  222835  222946 
     46154 223028  223120  223233  223305  223409  223503 
     46184 223575  223693  223782  223858  223944  223998 
     46214 224072  224172  224231  224305  224359  224401 
     46244 224481  224525  224553  224585  224594  224634 
     46274 224681  224698  224744  224767  224787  224856 
     46304 224889  224935  224998  225031  225104  225185 
     46334 225242  225333  225405  225478  225599  225683 
     46364 225785  225884  225945  226044  226148  226227 
     46394 226330  226402  226474  226585  226656  226739 
     46424 226809  226844  226910  226986  227046  227133 
     46454 227187  227256  227360  227428  227517  227593 
     46484 227638  227722  227793  227856  227934  227970 
     46514 228027  228130  228193  228286  228367  228426 
     46544 228529  228609  228687  228788  228848  228908 
     46574 228991  229035  229095  229123  229131  229179 
     46604 229219  229260  229306  229319  229356  229402 
     46634 229420  229472  229487  229499  229554  229584 
     46664 229627  229677  229693  229739  229801  229848 
     46694 229934  229995  230058  230164  230234  230318 
     46724 230406  230467  230553  230638  230695  230783 
     46754 230838  230893  230984  231037  231114  231176 
     46784 231209  231286  231363  231426  231510  231550 
     46814 231598  231679  231727  231810  231882  231934 
